,judul,nim,kata_kunci,mix_feature
0,PERANCANGAN WEBSITE EVALUASI STUDI MAHASISWA PROGRAM STUDI INFORMATIKA,71170236,"Evaluasi akademik mahasiswa, Goal-Directed design, Heuristic evaluation, Usability testing",ancang website site site evaluasi studi mahasiswa program studi informatika salah indikator kualitas guru tinggi tingkat kelulus mahasiswa tahun mahasiswa tunda waktu selesai studi program studi prodi informatika universitas kristen duta wacana ukdw evaluasi akademik mahasiswa juni-juli tahun materi evaluasi liput ipk total sks studi status aktif mahasiswa proses rekap data evaluasi akademik mahasiswa manual proses evaluasi data mahasiswa penuh syarat studi mahasiswa semester ipk 2 0 sks lulus semester 4 sks mahasiswa penuh salah syarat ditindaklanjuti kirim surat pemberitahuan mahasiswa calon drop out teliti tulis website site site bantu proses  analisa tampil history evaluasi akademik mahasiswa metode goal-directed design tahap research lauk wawancara admin kaprodi informatika uji heuristic evaluation hasil tingkat prioritas rendah usability testing responden hasil nilai efficiency evaluasi user experience user experience questionnaire hasil nilai excellent skala efisiensi nilai good 5 skala daya tarik stimulasi evaluasi akademik mahasiswa goal-directed design heuristic evaluation usability testing
1,"PEMBANGUNAN DATA WAREHOUSE DAN DASHBOARD
JEMAAT GEREJA",71150068,"data warehouse, prinsip Kimball, dimensional model, jemaat, GKI, web service, dashboard",bangun data warehouse dashboard jemaat gereja gereja lingkung gereja kristen indonesia sinode wilayah jawa tengah milik data jemaat olah dianalsis urus gereja erti paham gereja hasil olah data kurs gereja putus hidup jemaat gereja olah analisa data jumalahnya buah simpan data akomodasi data buah data warehouse bangun dasar prinsip data warehouse kimball akomodasi data jemaat prinsip data warehouse kimball tekan dimensional model model data warehouse cocok simpan  analisa data jemaat buah dashboard saji data data warehouse buah website site  service data bentuk tabel grafik unduh data bentuk dokumen purj sistem data warehouse dashboard hasil bangun analisa data jemaat gereja kendala muncul waktu butuh tampil data dashboard teliti desain tabel data warehouse susun sql query sistem jalan data warehouse prinsip kimball dimensional model jemaat gki website site  service dashboard
2,"DESAIN ANTARMUKA VISUALISASI PROFIL PADUKUHAN MENGGUNAKAN METODE USER CENTERED DESIGN STUDI KASUS PADUKUHAN DUWET III BANJARHARJO, KALIBAWANG, KULON PROGO",71160055,"User centered design, Usability testing, Profil padukuhan",desain antarmuka visualisasi profil padukuhan metode user ucd design studi padukuhan duwet iii banjarharjo kalibawang kulon progo peran teknologi cari buah informasi tabu cari buah informasi butuh cepat teknolgi canggih hubung buah internet jaring bentuk informasi salah informasi profil padukuhan profil padukuhan saji beda visualisasi sistem dashboard dengn unjung data cepat ambil simpul buah data profil padukuhan teliti sistem dashboard kait bentuk visualisasi saji data informasi metode user ucd design utama butuh hasil uji system usability scale performance metrics hasil combining metrics task success sistem admin sistem unjung time on task sistem admin sistem unjung error sistem admin sistem unjung efficiency sistem admin sistem unjung hasil uji sistem user ucd design usability testing profil padukuhan
3,ANALISIS PENATAAN JARINGAN HOTSPOT SEAMLESS DENGAN METODE WDS DI LINGKUNGAN UKDW,71150027,"WDS, Repeater, Reliability,Quality of Service, Throughput", analisa tata jaring hotspot seamless metode wds lingkung ukdw gagal koneksi pindah faktor faktor gagal koneksi beda nama ssid tingkat reliability rendah jaring internal asrama ukdw babad terap metode wds wireless distribution system metode akses jaring fleksibel roaming metode wds terap asrama ukdw babad harap tingkat reliability fleksibilitas roaming metode wds fungsi hilang halang akses channel width ssid frequency wds bentuk repeater fungsi pancar sinyal teliti parameter uji throughput packet loss jitter uji jaring wds wds dasar hasil teliti  analisa wds alami turun throughput dorm pria dorm wanita jitter packet loss alami tingkat signifikan hasil reliability alami tingkat 5 dorm pria dorm wanita dasar kualitas throughput wds alami turun segi reliability alami tingkat wds repeater reliability quality of service throughput
4,PERANCANGAN APLIKASI MONITORING JUMLAH KALORI SEBAGAI UPAYA PENCEGAHAN PENYAKIT DIABETES MELLITUS BERBASIS ANDROID,71160088,"Usability, Goal-directed design, Mobile application",ancang aplikasi monitoring kalori upaya cegah sakit diabetes melitus bas android perhati perihal kalori butuh kalori tubuh kalori konsumsi salah faktor sulit hitung kalori manual konsultasi ahli gizi kalori rata butuh biaya mahal resiko sehat utama milik potensi idap sakit contoh sakit diabetes melitus buah aplikasi monitoring kalori upaya cegah sakit diabetes melitus bas android ancang aplikasi terap metode goal directed design gdd 6 tahap research requirements modelling framework refinement support teliti uji usability 3 aspek usability effectiveness efficiency satisfaction sesuai standar nilai effectiveness hitung completion rate nilai efficiency hitung time on task normalisasi nilai satisfaction kuesioner sus olah hasil dasar uji responden aplikasi nilai effectiveness nilai efficiency nilai satisfaction 5 responden bantu pantau kalori konsumsi aplikasi 5 responden waspada resiko sakit diabetes aplikasi 5 responden aplikasi pakai simpul ancang aplikasi monitoring kalori upaya cegah sakit diabetes melitus bas android capai usability goal-directed design mobile application
5,ANALISIS SENTIMEN BERITA SAHAM MENGGUNAKAN ALGORITMA NAIVE BAYES,71150082,"Klasifikasi Teks, Naive Bayes, Berita Saham, Analisa Sentimen", analisa sentimen berita saham algoritma naive bayes investasi harta salah investasi saham sederhana saham tanda bukti milik badan usaha usaha saham milik trend milik sentimen pengaruh gera harga saham pengaruh gera saham muat situs berita teliti bangun sistem informasi sentimen berita usaha investor bantu ambil putus investasi usaha teliti tulis data situs berita saham kontan com data ambil grabber label manual proses preprocessing case folding stemming konfigurasi butuh hapus singkat hapus hubung angka proses klasifikasi metode naive bayes uji fitur-fitur tf-idf rata akurasi hasil pilih fitur-fitur fitur-fitur nilai accuracy tinggi uji fitur-fitur tf-idf bigram hasil nilai rata akurasi klasifikasi teks naive bayes berita saham analisa sentimen
6,EVALUASI DAN PERANCANGAN ANTARMUKA SITUS E-COMMERCE PLANET BOOK STORE,71170154,"Usability testing, ISO 9241-11",evaluasi ancang antarmuka situs e-commerce planet book store situs planet book store salah situs jual beli buku mesan beli buku situs antarmuka buah situs jual beli interaksi situs uji usabilitas tingkat usabilitas mudah interaksi situs teliti antarmuka situs teliti usabilitas situs teliti usability testing prinsip iso 9241-11 3 ukur adaptive ahp-topsis effectiveness efisiensi efficiency puas satisfaction hasil teliti tingkat nilai rata adaptive ahp-topsis completion rate alami tingkat nilai rata efisiensi overall relative efficiency alami tingkat nilai rata puas kuesioner system usability scale sus alami tingkat usability testing iso 9241-11
7,ANALISA PERBANDINGAN KUALITAS PENGIRIMAN DATA VOIP MENGGUNAKAN METODE L2TP/IPSEC DENGAN OPENVPN MELALUI JARINGAN PUBLIK,71160005,"VoIP (Voice-over Internet Protocol), VPN, L2TP/IPsec, OpenVPN,
Quality of Service",analisa banding kualitas kirim data voip metode ipsec openvpn jaring publik voip voice-over internet protocol salah protokol layan kirim data suara jaring komputer komunikasi voip harap lokasi milik buah instansi organisasi lokasi beda butuh metode hubung jaring lokal lokasi komunikasi aman metode tunneling milik pilih metode ipsec openvpn metode implementasi analisa pengaruh kualitas kirim data voip teliti 2 lokasi kampus universitas kristen duta wacana asrama babad universitas kristen duta wacana teliti metode ipsec openvpn ganti router mikrotik parameter teliti delay jitter packet loss throughput mos subjektif mos objektif limitasi bandwidth 1 mbps kbps kbps uji metode tunneling teliti simpul ipsec nilai unggul banding openvpn ipsec nilai mos tinggi nilai delay jitter packet loss kirim data voip optimal bandwidth batas banding openvpn ipsec nilai metode optimal universitas kristen duta wacana kirim voip voip voice-over internet protocol vpn ipsec openvpn quality of service
8,PEMBUATAN SISTEM PENDATAAN UMAT PAROKI MARIA ASSUMPTA KLATEN BERBASIS APLIKASI ANDROID,71160077,"data umat Paroki, sensus, Android",sistem data umat paroki maria assumpta klaten bas aplikasi android rangka sesuai struktur data umat uskup agung semarang paroki santa maria assumpta data ulang sensus butuh butuh aplikasi dukung data bas android umat data mandiri umat milik perangkat android bantu google form tugas catat data umat ppdu bahas teliti aplikasi bas andorid nama gematen kembang aplikasi metode kembang rapid application development rad teliti uji uji black box catat uji sistem uji system usability scale tingkat puas aplikasi analisa lapor lapor lapor aplikasi aplikasi gematen hasil integrasi website site  service data umat milik paroki santa maria assumpta klaten rilis enam versi aplikasi integrasi hasil kenyataannya lapang agama aktivitas aplikasi gematen perangkat nilai aplikasi gematen dasar tingkat puas skor pengaruh faktor bug aplikasi perihal ambil gambar profil kembang tulis dokumen standar kembang repositori privat github buah layan git kenal data umat paroki sensus android
9,MEMBANGUN BUSINESS INTELLIGENCE UNTUK PENJUALAN RITEL DENGAN MENGGUNAKAN BIRT,71150065,"ritel, Business Intelligence, Key Performance Indicator, ETL, Dimensional Modelling",bangun business intelligence jual ritel birt ritel ecer retailing giat libat jual barang jasa konsumen pribadi bisnis business intelligence bi usaha ritel mudah pantau kembang bisnis sesuai key performance indicator kpi usaha teliti aplikasi business intelligence key performance indicator butuh reporting visualisasi capai key performance indicator sistem key performance indicator kpi implementasi sistem ancang dimensional modelling dasar kpi redudansi data data implementasi sistem liput report jalan website site  proses implementasi sistem sistem evaluasi kuesioner hitung skala likert proses wawancara user hasil evaluasi maksimal tampil sistem tarik utama chart tabel sistem tampil untung jual barang kontribusi supplier merk strip segi fungsionalitas sistem kelola data chart tabel fitur-fitur ganti kategori proses ambil data ritel business intelligence key performance indicator etl dimensional modelling
